date,exercise,sets_manual,reps_manual,each_side,weight,weight_unit,notes
2025-09-25,KB Goblet Squats,,,,35.0,lbs,
2025-09-25,Newrow Neutral,,,,,,
2025-09-25,Pressdown,,,,50.0,lbs,
2025-09-25,Prone Leg Curls,,,,,,
2025-09-25,Pull Op w/ frontrowgrip,,,,0.0,bodyweight,
2025-09-25,Pull Ups,,,,0.0,bodyweight,
2025-09-25,Sled Pulls,,,,165.0,lbs,
2025-09-25,Squats,,,,26.0,lbs,
2025-09-25,Triceps,,,,,,
2025-09-25,shoulder Raise Trio,,,,12.0,lbs,
2025-09-26,(R++ Both) = 1 rep DB Alt. Chest Press,,,,65.0,lbs,
2025-09-26,Hand stand Holds,,,,0.0,bodyweight,
2025-09-26,Kneeling SA,,,,,,
2025-09-26,Landmine Press,,,,25.0,lbs,
2025-09-26,Plank + pike + Knee tuck,,,,0.0,bodyweight,
2025-09-26,Pseudo Planche Leans W / Wall,,,,0.0,bodyweight,
2025-09-26,Scapular push ups,,,,0.0,bodyweight,
2025-09-29,Bulgarians,,,,35.0,lbs,
2025-09-29,Handstand herds,,,,,,
2025-09-29,Leans rick,,,,,,
2025-09-29,Leg Press,,,,,,
2025-09-29,Prone Leg Curls,,,,100.0,lbs,
2025-09-29,Pseudo Planche,,,,,,
2025-09-29,Quad Ext.,,,,100.0,lbs,
2025-09-29,Seated Call Raises,,,,,,
2025-09-29,Wall Planche hold,,,,,,
2025-10-02,Hanstand Holds (wall ),,,,,,
2025-10-02,Pseudo Planche Rockers,,,,,,
2025-10-02,RB Pull Aparts,,,,,,
2025-10-02,Scapular Ausnups,,,,0.0,bodyweight,
2025-10-02,Shoulder Raise,,,,,,
2025-10-02,Shoulder Shrugs,,,,35.0,lbs,
2025-10-02,Tricep Push ups,,,,0.0,bodyweight,
2025-10-02,Trio,,,,12.5,lbs,
2025-10-02,Wall Pseudo Planche Leans,,,,,,
2025-10-04,Booty Builder,,,,248.0,lbs,
2025-10-04,Cable Split Lunges,,,,,,
2025-10-04,Cable Squats,,,,60.0,lbs,
2025-10-04,Front Lever Scapula pulls,,,,,,
2025-10-04,Hip Abductions Seated,,,,130.0,lbs,
2025-10-04,One Arm Pullups RR,,,,,,
2025-10-04,Pull ups,,,,,,
2025-10-04,Wall Planche Lean Hold,,,,,,
2025-10-06,1 Prone Leg Curls,,,,,,
2025-10-06,Deadhang Leg Lifts,,,,,,
2025-10-06,Ext. Rotations,,,,7.5,lbs,
2025-10-06,Quad Ext.,,,,130.0,lbs,
2025-10-06,Wall Handstand Holds,,,,,,
2025-10-06,Wall Planche Holds,,,,,,
2025-10-06,Wall Pseudo Planche Pushups,,,,,,
2025-10-20,Deadhang,,,,,,
2025-10-20,Floor DB Chest,,,,,,
2025-10-20,Leg Lifts,,,,,,
2025-10-20,Press,,,,30.0,lbs,
2025-10-20,Scapular Pushups,,,,,,
2025-10-20,Tuck Planche Dips,,,,,,
2025-10-20,"Walks to Pseudo Pland, WEIGHT",,,,,,
2025-10-20,Wall Hanstand,,,,,,
2025-10-20,Wall Pseudo Planche Leons,,,,,,
2025-10-20,Wall Pseudo Planche Push ups weighted,,,,40.0,lbs,
2025-10-28,1 De Art. Bicep Carls,,,,30.0,lbs,
2025-10-28,1 Pull ups,,,,,,
2025-10-28,Back Front Lever,,,,,,
2025-10-28,Ext. Rotations,,,,,,
2025-10-28,Tuck holds,,,,,,
2025-10-29,Atudo Planche Wall Holds,,,,,,
2025-10-29,Bird Dog Rows,,,,,,
2025-10-29,Booty Boulder,,,,231.0,lbs,
2025-10-29,Bulgarians,,,,30.0,lbs,
2025-10-29,Handstand Pushups + elevated pike pushups,,,,,,
2025-10-29,Pseudo Planche,,,,,,
2025-10-29,SL DB Galf Ralses,,,,,,
2025-10-29,Seated Leg Curls,,,,100.0,lbs,
2025-10-29,Slides,,,,,,
2025-11-01,Air walk pullups,,,,,,
2025-11-01,Cable Ext. Rotations,,,,,,
2025-11-01,Deadhangs,,,,,,
2025-11-01,Delt Flies,,,,115.0,lbs,
2025-11-01,Int.,,,,7.5,lbs,
2025-11-01,Laying 900,,,,,,
2025-11-01,Power Pull ups,,,,,,
2025-11-01,Pseudo Front Lever Holds - Tuck,,,,,,
2025-11-01,Scapular pull ups,,,,,,
2025-11-01,Seated Rear,,,,,,
2025-11-01,Walks to pseudo planche Wall Hanstand,,,,,,
2025-11-01,Wall Pseudo Planche Holds,,,,,,
2025-11-05,Dips,,,,0.0,bodyweight,
2025-11-05,Ext + Int. Rotations,,,,,,
2025-11-05,Pseudo Planche,,,,,,
2025-11-05,Scapular push-ups,,,,,,
2025-11-05,Tuck Planche,,,,,,
2025-11-05,Wall Pseudo Planche holds,,,,,,
2025-11-05,slides,,,,,,
2025-11-06,1 Cable Squats,,,,65.0,lbs,
2025-11-06,1 Curls,,,,100.0,lbs,
2025-11-06,1 Ice Cream Scoops,,,,,,
2025-11-06,1 Seated Hip Abductors,,,,150.0,lbs,
2025-11-06,1 Tuck Front,,,,,,
2025-11-06,Booty Builder,,,,248.0,lbs,
2025-11-06,Bulgarians,,,,,,
2025-11-06,Dead hongs,,,,,,
2025-11-06,Lever Holds,,,,,,
2025-11-06,Prone Leg,,,,,,
2025-11-09,Arone Leg Curls,,,,100.0,lbs,
2025-11-09,Ext/int: rotations,,,,,,
2025-11-09,Hanstand Pushups,,,,,,
2025-11-09,Planche holds,,,,,,
2025-11-09,Scapular pushups,,,,,,
2025-11-09,Seated Incline Leg Press,,,,315.0,lbs,
2025-11-09,Shoulder Raises straight Arm,,,,15.0,lbs,
2025-11-09,Standing Hip Dips,,,,,,
2025-11-09,Wall Pseudo,,,,,,
2025-11-09,w/ Dine Pushups,,,,,,
2025-11-11,08 Shoulder Shrugs,,,,10.0,lbs,
2025-11-11,AB Shoulder Raise Trio,,,,10.0,lbs,
2025-11-11,Archer Pullups,,,,,,
2025-11-11,Det Fires,,,,10.0,lbs,
2025-11-11,Diff. Pullups,,,,,,
2025-11-11,Scoops,,,,,,
2025-11-11,Seated Rear,,,,,,
2025-11-11,Tuck Ice Cream,,,,,,
2025-11-12,BOSU SL KB,,,,,,
2025-11-12,Booty Builder,,,,248.0,lbs,
2025-11-12,Prone Leg Curls,,,,100.0,lbs,
2025-11-12,Pushups + El. Pike Pushups,,,,,,
2025-11-12,Straight Arm Shoulder Raises,,,,15.0,lbs,
2025-11-12,squat,,,,20.0,lbs,
2025-11-16,Airwalk pull ups,,,,,,
2025-11-16,Booty Builder,,,,,,
2025-11-16,Bulgarians,,,,45.0,lbs,
2025-11-16,Cable Int / Ext.,,,,,,
2025-11-16,Calf Press,,,,190.0,lbs,
2025-11-16,DB (Diagonal + lateral),,,,15.0,lbs,
2025-11-16,Elevated Dike Pushups,,,,,,
2025-11-16,MB Hamstring Carla,,,,,,
2025-11-16,Rotations,,,,7.5,lbs,
2025-11-16,Seated Hip Adductions,,,,115.0,lbs,
2025-11-16,Shoulder Raises,,,,,,
2025-11-16,Wall Pseudo Planche Holds,,,,,,
2025-11-19,Abductors,,,,100.0,lbs,
2025-11-19,Airwalls pullups,,,,,,
2025-11-19,Archer Pullups,,,,,,
2025-11-19,Booty Builder,,,,248.0,lbs,
2025-11-19,Seated Hip,,,,,,
2025-11-19,Seated Itp Adductors,,,,115.0,lbs,
2025-11-19,Shoulder shrugs Trio,,,,12.5,lbs,
2025-11-20,Elevated Pike,,,,,,
2025-11-20,Ext / Int. Rotations,,,,7.5,lbs,
2025-11-20,MB Hamstring Curls,,,,,,
2025-11-20,Pushups,,,,,,
2025-11-20,Seated Incline Leg Press,,,,405.0,lbs,
2025-11-27,. Curls,,,,,,
2025-11-27,1 RB scapular pushups,,,,,,
2025-11-27,DB Goblet Squat,,,,,,
2025-11-27,Elevated Pike Pushups,,,,,,
2025-11-27,Handstand pushups,,,,,,
2025-11-27,Pseudo Planche,,,,,,
2025-11-27,SB Hamstring,,,,,,
2025-11-27,Slides,,,,,,
2025-11-29,. Scared hip adductions,,,,130.0,lbs,
2025-11-29,1 Lateral,,,,,,
2025-11-29,Booty Builder,,,,,,
2025-11-29,L-sit pullups,,,,,,
2025-11-29,One arm deadhangs,,,,,,
2025-11-29,Palov rotations,,,,22.5,lbs,
2025-11-29,Pull ups,,,,,,
2025-11-29,SB hamstring curls,,,,,,
2025-11-29,Shoulder Raises Trio,,,,10.0,lbs,
2025-11-29,Squats,,,,,,
2025-11-29,i 6h sit-to-stands,,,,,,
2025-11-30,1 DB Laying Straight Arm Raises,,,,25.0,lbs,
2025-11-30,1 Ext. / Int. Rotations,,,,,,
2025-11-30,Foregrip Tricep,,,,,,
2025-11-30,Pike Pushups,,,,,,
2025-11-30,Pseudo Planche Pushups Slides,,,,,,
2025-11-30,Wall Handstand,,,,,,
2025-11-30,elevated,,,,,,
2025-11-30,pulldown,,,,,,
2025-11-30,scapular push ups,,,,,,
2025-12-02,! AB Front Rows,,,,0.0,blue_band,
2025-12-02,1 Deadhangs + One-Arm Deadhangs,,,,,,
2025-12-02,1 Laying DB Ice cream Scoops,,,,20.0,lbs,
2025-12-02,1 Power Pull ups,,,,,,
2025-12-02,RB Full Aparts,,,,0.0,orange_band,
2025-12-02,Straight Arm Raises,,,,,,
2025-12-02,Weighted Pull Ups,,,,40.0,lbs,
2025-12-03,. Elevated Ake Push ups,,,,,,
2025-12-03,1 Booty Builder .,,,,,,
2025-12-03,1 SB Hamstring Curls,,,,,,
2025-12-03,1 Seated Leg,,,,,,
2025-12-03,Abductors,,,,120.0,lbs,
2025-12-03,Bulgarians,,,,86.0,lbs,
2025-12-03,Extensions,,,,100.0,lbs,
2025-12-03,Prone Leg Curls,,,,,,
2025-12-03,Seated Hip,,,,,,
2025-12-04,1 Elevated Pike Pushups,,,,,,
2025-12-04,1 Scapular pushups,,,,,,
2025-12-04,1 Tuck Planche,,,,,,
2025-12-04,1 Weighted Dips,,,,45.0,lbs,
2025-12-04,DB Lateral Shoulder to Planche Walks,,,,,,
2025-12-04,DB Shoulder Shrugs,,,,15.0,lbs,
2025-12-04,Ext . / Int. Cable Rotations,,,,7.5,lbs,
2025-12-04,Holds,,,,,,
2025-12-04,Leans,,,,,,
2025-12-04,Nall Pseudo Planche,,,,,,
2025-12-04,Raises,,,,15.0,lbs,
2025-12-04,Wall Handstand,,,,,,
2025-12-07,1 Ext/ Int. rotations,,,,,,
2025-12-07,DE straight Am,,,,,,
2025-12-07,Internal Shoulder Rotations RB,,,,,,
2025-12-07,L-sits paralletes,,,,,,
2025-12-07,Pseudo Planche Raises (Laying ) Dips,,,,20.0,lbs,
2025-12-07,RB scapular,,,,,,
2025-12-07,Wall Handstand Holds,,,,,,
2025-12-07,pushups,,,,,,
2025-12-08,( abs ),,,,,,
2025-12-08,Cossack Squat,,,,35.0,lbs,
2025-12-08,Curls,,,,,,
2025-12-08,DB SL Calf Raises,,,,,,
2025-12-08,KB Swings,,,,,,
2025-12-08,Laying Side Leg Raises RB,,,,,,
2025-12-08,Pike to Knee Pucks,,,,,,
2025-12-08,SB Hamstring,,,,,,
2025-12-09,Airwalk Pullups,,,,,,
2025-12-09,Dead hangs,,,,,,
2025-12-09,Deadhang Leg Lifts,,,,,,
2025-12-09,Ext / Int. Rotation:,,,,,,
2025-12-09,Ice Cream Scoops,,,,,,
2025-12-09,Pullups w/,,,,,,
2025-12-09,Rows ( Neutral ),,,,,,
2025-12-09,Seated SA Front,,,,,,
2025-12-09,Shoulder shrugs,,,,,,
2025-12-09,Slow Descent,,,,,,
2025-12-10,Booty Builder,,,,264.0,lbs,
2025-12-10,SB Hamstring Curls,,,,,,
2025-12-10,SL DB Calf Raises,,,,,,
2025-12-10,seated Hip Abductions,,,,130.0,lbs,
2025-12-11,Elevated Pike,,,,,,
2025-12-11,Ext / Int.,,,,,,
2025-12-11,Holds,,,,,,
2025-12-11,Pushups,,,,,,
2025-12-11,Rotations,,,,5.0,lbs,
2025-12-11,"Tri , wide , Tri , Wide , Air. reg pushups",,,,,,
2025-12-11,Upright Leg Lifts,,,,,,
2025-12-11,Wall Hanstand,,,,,,
2025-12-16,DB Bicep Carls,,,,30.0,lbs,
2025-12-16,Deadhangs + One-arm deadhangs,,,,,,
2025-12-16,Ice Cream,,,,,,
2025-12-16,Power Pullups,,,,,,
2025-12-16,Pullups,,,,,,
2025-12-16,Scoops,,,,,,
2025-12-16,Slow pullups,,,,40.0,lbs,
2025-12-16,Tricep Kickbacks,,,,15.0,lbs,
,! Handstand Push up,,,,,,
,1 Booty Builder Heels to Heaven,,,,198.0,lbs,
,1 Prendo Planche Slides,,,,,,
,1 Seated Hip,,,,,,
,1 Wall Handstand,,,,,,
,1 Wall Pseudo Planche Holds,,,,,,
,10 /23/25,,,,,,
,10/ 24/25,,,,,,
,11 /25/25,,,,,,
,12 / 14 / 25,,,,,,
,8123/25,,,,,,
,9 /18/25,,,,,,
,Abduction,,,,135.0,lbs,
,Adductions,,,,130.0,lbs,
,Around the Worlds KB,,,,35.0,lbs,
,Back lever,,,,,,
,Booty Builder,,,,231.0,lbs,
,Booty Builder,,,,,,
,Bulgarians,,,,,,
,Calf Press,,,,,,
,Cartwheels,,,,,,
,Curls,,,,,,
,DB Laying Straight -Arm,,,,,,
,DB Shoulder,,,,,,
,Elevated Pike,,,,,,
,Ext.,,,,115.0,lbs,
,Ext/ Int. Rotations,,,,7.5,lbs,
,Fires,,,,90.0,lbs,
,Handstand,,,,,,
,Leg Extensions,,,,100.0,lbs,
,Planche slides,,,,,,
,Prone Leg Curls,,,,0.0,lbs,
,Pseudo Planche,,,,,,
,Pull ups + Pull ups Air Walk,,,,,,
,Pushups,,,,,,
,Quad. Ext. pull ups,,,,0.0,bodyweight,
,Raise Tiro,,,,10.0,lbs,
,Raises,,,,20.0,lbs,
,Reverse Langes,,,,45.0,lbs,
,SB Hamstring,,,,,,
,SL Calf praises,,,,35.0,lbs,
,Scapular Push Ups,,,,,,
,Seated Hip Adduction,,,,100.0,lbs,
,Seated Hip Pushups,,,,,,
,Seated Rear Delt,,,,,,
,Slow Handstand,,,,,,
,Triceps Pulldown,,,,45.0,lbs,
,Tuck Front Lever Hold,,,,,,
,arow-pose,,,,,,
,attempt + Dike push ups Weighted Dips,,,,45.0,lbs,
,cable row bar,,,,,,
,seated Quad,,,,,,
,shoulder Shrugs,,,,10.0,lbs,
,stides,,,,,,
