date,exercise,sets,reps,each_side,is_timed,weight,weight_unit,reps_raw,weight_raw,cardio_distance,cardio_duration,cardio_pace,cardio_raw,source_file
2025-08-30,YTWs,,,False,False,,,,,,,,,1-10.pdf.json
2025-09-01,1 Crunches,,,False,False,0.0,bodyweight,,BW.,,,,,1-10.pdf.json
2025-09-01,1 Scapular Pushups (Plank),,,False,False,0.0,bodyweight,,BW,,,,,1-10.pdf.json
2025-09-01,1 Shoulder Shrugs,,,False,False,10.0,lbs,,10 lbs,,,,,1-10.pdf.json
2025-09-01,: RB Face Pulls,,,False,False,0.0,blue_band,,Blue Band,,,,,1-10.pdf.json
2025-09-01,Ext/Int Rotations,,,False,False,0.0,red_band,,Red Band,,,,,1-10.pdf.json
2025-09-01,RB Pull-Aparts,,,False,False,0.0,blue_band,,& Blue Band,,,,,1-10.pdf.json
2025-09-01,Scapular Pushups,,,False,False,0.0,bodyweight,,BW,,,,,1-10.pdf.json
2025-09-01,Shoulder Raise Trio,,,False,False,10.0,lbs,,10 lbs.,,,,,1-10.pdf.json
2025-09-01,Tricep Pushups,,,False,False,0.0,bodyweight,,BW,,,,,1-10.pdf.json
2025-09-02,Booty Builder,,,False,False,,,,,,,,,1-10.pdf.json
2025-09-02,Hip Abductions ( machine),,,False,False,145.0,lbs,,145 lbs .,,,,,1-10.pdf.json
2025-09-02,Hip Adductions ( machine ),,,False,False,100.0,lbs,,100 lbs.,,,,,1-10.pdf.json
2025-09-02,MB Hamstring Curls,,,False,False,0.0,bodyweight,,BW,,,,,1-10.pdf.json
2025-09-02,Squat,,,False,False,140.0,lbs,,140 lbs.,,,,,1-10.pdf.json
2025-09-02,standing Hack,,,False,False,,,,,,,,,1-10.pdf.json
2025-09-02,standing SL calf raises,,,False,False,40.0,lbs,,1x 40 lbs.,,,,,1-10.pdf.json
2025-09-03,(FIOR) (Stos),,,False,False,0.0,bodyweight,,BW,,,,,1-10.pdf.json
2025-09-03,(FtB ) (Stos ),,,False,False,0.0,bodyweight,,BW,,,,,1-10.pdf.json
2025-09-03,1 Bosu Ball Iso Pistol,,,False,False,,,,,,,,,1-10.pdf.json
2025-09-03,1 Cable Lunges,,,False,False,50.0,lbs,,50 lbs.,,,,,1-10.pdf.json
2025-09-03,1 Cable Squats,,,False,False,50.0,lbs,,50 lbs.,,,,,1-10.pdf.json
2025-09-03,1 IL sit-to-stand,,,False,False,0.0,bodyweight,,BW,,,,,1-10.pdf.json
2025-09-03,Bose Ball Step-ups,,,False,False,,,,,,,,,1-10.pdf.json
2025-09-03,I SL Bosu Ball,,,False,False,,,,,,,,,1-10.pdf.json
2025-09-03,MB Hamstring Curls,,,False,False,,,,,,,,,1-10.pdf.json
2025-09-03,N/ Squat,,,False,False,25.0,lbs,,25 lbs.,,,,,1-10.pdf.json
2025-09-03,Pistol Squats,,,False,False,0.0,bodyweight,,BW,,,,,1-10.pdf.json
2025-09-03,RB Lateral Walk,,,False,False,,,,,,,,,1-10.pdf.json
2025-09-03,SL Cores Drill,,,False,False,,,,,,,,,1-10.pdf.json
2025-09-03,Sliders,,,False,False,,,,,,,,,1-10.pdf.json
2025-09-03,Squat w/Front Row,,,False,False,0.0,bodyweight,,BW,,,,,1-10.pdf.json
2025-09-06,Ext/int rotations,,,False,False,,,,,,,,,1-10.pdf.json
2025-09-06,Scapular Pushups,,,False,False,,,,,,,,,1-10.pdf.json
2025-09-06,shoulder shrugs,,,False,False,10.0,lbs,,10 lbs.,,,,,1-10.pdf.json
2025-09-07,1 Bulgarians,,,False,False,30.0,lbs,,30 lbs.,,,,,1-10.pdf.json
2025-09-07,Booty Builder,,,False,False,215.0,lbs,,215 lbs.,,,,,1-10.pdf.json
2025-09-07,Hamstring carls,,,False,False,85.0,lbs,,85 lbs .,,,,,1-10.pdf.json
2025-09-07,Inverted Rows,,,False,False,0.0,bodyweight,,BW,,,,,1-10.pdf.json
2025-09-09,Converging Cheat Press,,,False,False,148.0,lbs,,"115, 148 lbs.",,,,,1-10.pdf.json
2025-09-09,DB Chest Press,,,False,False,65.0,lbs,,65 165,,,,,1-10.pdf.json
2025-09-09,DO Thumbsup Shoulder Raises,,,False,False,15.0,lbs,,15 lbs .,,,,,1-10.pdf.json
2025-09-09,Front DE Shoulder Paises,,,False,False,15.0,lbs,,15 lbs.,,,,,1-10.pdf.json
2025-09-09,Handstand Holds w / wall,,,False,False,0.0,bodyweight,,BW,,,,,1-10.pdf.json
2025-09-09,Seated Pectoral Fles,,,False,False,160.0,lbs,,"145, 160 lbs.",,,,,1-10.pdf.json
2025-09-10,1 .,,,False,False,,,,,,,,,1-10.pdf.json
2025-09-10,1 Hip Abductions,,,False,False,,,,,,,,,1-10.pdf.json
2025-09-10,1 shoulder Shrug Trio +,,,False,False,12.0,lbs,,12 lbs.,,,,,1-10.pdf.json
2025-09-10,Booty Builder,,,False,False,215.0,lbs,,215 lbs.,,,,,1-10.pdf.json
2025-09-10,Curl,,,False,False,120.0,lbs,,120lbs 100 lbs,,,,,1-10.pdf.json
2025-09-10,Hip Adductions,,,False,False,110.0,lbs,,110 lbs.,,,,,1-10.pdf.json
2025-09-10,Prone Leg,,,False,False,,,,,,,,,1-10.pdf.json
2025-09-10,SL Bosu Ball Pistol Squat,,,False,False,0.0,bodyweight,,BW,,,,,1-10.pdf.json
2025-09-10,Triceps/ Reg. Pushups,,,False,False,0.0,bodyweight,,BW,,,,,1-10.pdf.json
2025-09-10,Trio,,,False,False,12.0,lbs,,12 163.,,,,,1-10.pdf.json
2025-09-10,shoulder Raise,,,False,False,,,,,,,,,1-10.pdf.json
2025-09-16,Bicep Curls EZ Bar,,,False,False,40.0,lbs,,40 lbs,,,,,1-10.pdf.json
2025-09-16,Crushers,,,False,False,25.0,lbs,,25 lbs.,,,,,1-10.pdf.json
2025-09-16,SA Tricep Skull,,,False,False,,,,,,,,,1-10.pdf.json
2025-09-16,Scapular Push Ups,,,False,False,0.0,bodyweight,,BW .,,,,,1-10.pdf.json
2025-09-16,shoulder Shrugs,,,False,False,15.0,lbs,,15 lbs.,,,,,1-10.pdf.json
2025-09-25,BB Inverted row 900,,,False,False,0.0,bodyweight,,BW,,,,,1-10.pdf.json
2025-09-25,Bulgarian Split,,,False,False,,,,,,,,,1-10.pdf.json
2025-09-25,Hip Adductions,,,False,False,115.0,lbs,,115 16e.,,,,,1-10.pdf.json
2025-09-25,KB Goblet Squats,,,False,False,35.0,lbs,,35 lbs.,,,,,1-10.pdf.json
2025-09-25,Newrow Neutral,,,False,False,,,,,,,,,1-10.pdf.json
2025-09-25,Pressdown,,,False,False,50.0,lbs,,50 lbs.,,,,,1-10.pdf.json
2025-09-25,Prone Leg Curls,,,False,False,,,,,,,,,1-10.pdf.json
2025-09-25,Pull Op w/ frontrowgrip,,,False,False,0.0,bodyweight,,BW,,,,,1-10.pdf.json
2025-09-25,Pull Ups,,,False,False,0.0,bodyweight,,BW,,,,,1-10.pdf.json
2025-09-25,Sled Pulls,,,False,False,165.0,lbs,,"165 lbs,",,,,,1-10.pdf.json
2025-09-25,Squats,,,False,False,26.0,lbs,,26 lbs.,,,,,1-10.pdf.json
2025-09-25,Triceps,,,False,False,,,,,,,,,1-10.pdf.json
2025-09-25,shoulder Raise Trio,,,False,False,12.0,lbs,,12 lbs.,,,,,1-10.pdf.json
2025-09-26,(R++ Both) = 1 rep DB Alt. Chest Press,,,False,False,65.0,lbs,,65 163.,,,,,1-10.pdf.json
2025-09-26,Hand stand Holds,,,False,False,0.0,bodyweight,,BW,,,,,1-10.pdf.json
2025-09-26,Kneeling SA,,,False,False,,,,,,,,,1-10.pdf.json
2025-09-26,Landmine Press,,,False,False,25.0,lbs,,25 lbs .,,,,,1-10.pdf.json
2025-09-26,Plank + pike + Knee tuck,,,False,False,0.0,bodyweight,,BW,,,,,1-10.pdf.json
2025-09-26,Pseudo Planche Leans W / Wall,,,False,False,0.0,bodyweight,,BW,,,,,1-10.pdf.json
2025-09-26,Scapular push ups,,,False,False,0.0,bodyweight,,BW,,,,,1-10.pdf.json
2025-09-29,Bulgarians,,,False,False,35.0,lbs,,35 lbs .,,,,,1-10.pdf.json
2025-09-29,Handstand herds,,,False,False,,,,,,,,,1-10.pdf.json
2025-09-29,Leans rick,,,False,False,,,,,,,,,1-10.pdf.json
2025-09-29,Leg Press,,,False,False,,,,,,,,,1-10.pdf.json
2025-09-29,Prone Leg Curls,,,False,False,100.0,lbs,,100 lbs.,,,,,1-10.pdf.json
2025-09-29,Pseudo Planche,,,False,False,,,,,,,,,1-10.pdf.json
2025-09-29,Quad Ext.,,,False,False,100.0,lbs,,100 lbs.,,,,,1-10.pdf.json
2025-09-29,Seated Call Raises,,,False,False,,,,,,,,,1-10.pdf.json
2025-09-29,Wall Planche hold,,,False,False,,,,,,,,,1-10.pdf.json
2025-10-02,Hanstand Holds (wall ),,,False,False,,,,,,,,,1-10.pdf.json
2025-10-02,Pseudo Planche Rockers,,,False,False,,,,,,,,,1-10.pdf.json
2025-10-02,RB Pull Aparts,,,False,False,,,,,,,,,1-10.pdf.json
2025-10-02,Scapular Ausnups,,,False,False,0.0,bodyweight,,BW,,,,,1-10.pdf.json
2025-10-02,Shoulder Raise,,,False,False,,,,,,,,,1-10.pdf.json
2025-10-02,Shoulder Shrugs,,,False,False,35.0,lbs,,35 lbs.,,,,,1-10.pdf.json
2025-10-02,Tricep Push ups,,,False,False,0.0,bodyweight,,BW,,,,,1-10.pdf.json
2025-10-02,Trio,,,False,False,12.5,lbs,,12.5 lbs.,,,,,1-10.pdf.json
2025-10-02,Wall Pseudo Planche Leans,,,False,False,,,,,,,,,1-10.pdf.json
2025-10-04,Booty Builder,,,False,False,248.0,lbs,,"231, 248 lbs.",,,,,1-10.pdf.json
2025-10-04,Cable Split Lunges,,,False,False,,,,,,,,,1-10.pdf.json
2025-10-04,Cable Squats,,,False,False,60.0,lbs,,60 lbs,,,,,1-10.pdf.json
2025-10-04,Front Lever Scapula pulls,,,False,False,,,,,,,,,1-10.pdf.json
2025-10-04,Hip Abductions Seated,,,False,False,130.0,lbs,,130 lbs.,,,,,1-10.pdf.json
2025-10-04,One Arm Pullups RR,,,False,False,,,,,,,,,1-10.pdf.json
2025-10-04,Pull ups,,,False,False,,,,,,,,,1-10.pdf.json
2025-10-04,Wall Planche Lean Hold,,,False,False,,,,,,,,,1-10.pdf.json
2025-10-06,1 Prone Leg Curls,,,False,False,,,,,,,,,1-10.pdf.json
2025-10-06,Deadhang Leg Lifts,,,False,False,,,,,,,,,1-10.pdf.json
2025-10-06,Ext. Rotations,,,False,False,7.5,lbs,,7.5 lbs.,,,,,1-10.pdf.json
2025-10-06,Quad Ext.,,,False,False,130.0,lbs,,130 lbs.,,,,,1-10.pdf.json
2025-10-06,Wall Handstand Holds,,,False,False,,,,,,,,,1-10.pdf.json
2025-10-06,Wall Planche Holds,,,False,False,,,,,,,,,1-10.pdf.json
2025-10-06,Wall Pseudo Planche Pushups,,,False,False,,,,,,,,,1-10.pdf.json
2025-10-20,: Pseudo planche suldes,,,False,False,,,,,,,,,1-10.pdf.json
2025-10-20,Deadhang,,,False,False,,,,,,,,,1-10.pdf.json
2025-10-20,Floor DB Chest,,,False,False,,,,,,,,,1-10.pdf.json
2025-10-20,Leg Lifts,,,False,False,,,,,,,,,1-10.pdf.json
2025-10-20,Press,,,False,False,30.0,lbs,,30 16:,,,,,1-10.pdf.json
2025-10-20,Scapular Pushups,,,False,False,,,,,,,,,1-10.pdf.json
2025-10-20,Tuck Planche Dips,,,False,False,,,,,,,,,1-10.pdf.json
2025-10-20,"Walks to Pseudo Pland, WEIGHT",,,False,False,,,,,,,,,1-10.pdf.json
2025-10-20,Wall Hanstand,,,False,False,,,,,,,,,1-10.pdf.json
2025-10-20,Wall Pseudo Planche Leons,,,False,False,,,,,,,,,1-10.pdf.json
2025-10-20,Wall Pseudo Planche Push ups weighted,,,False,False,40.0,lbs,,40 lbs .,,,,,1-10.pdf.json
2025-10-28,1 De Art. Bicep Carls,,,False,False,30.0,lbs,,30 lbs.,,,,,1-10.pdf.json
2025-10-28,1 Pull ups,,,False,False,,,,,,,,,1-10.pdf.json
2025-10-28,Back Front Lever,,,False,False,,,,,,,,,1-10.pdf.json
2025-10-28,Ext. Rotations,,,False,False,,,,,,,,,1-10.pdf.json
2025-10-28,Tuck holds,,,False,False,,,,,,,,,1-10.pdf.json
2025-10-29,Atudo Planche Wall Holds,,,False,False,,,,,,,,,1-10.pdf.json
2025-10-29,Bird Dog Rows,,,False,False,,,,,,,,,1-10.pdf.json
2025-10-29,Booty Boulder,,,False,False,231.0,lbs,,231 lbs.,,,,,1-10.pdf.json
2025-10-29,Bulgarians,,,False,False,30.0,lbs,,30 lbs.,,,,,1-10.pdf.json
2025-10-29,Handstand Pushups + elevated pike pushups,,,False,False,,,,,,,,,1-10.pdf.json
2025-10-29,Pseudo Planche,,,False,False,,,,,,,,,1-10.pdf.json
2025-10-29,SL DB Galf Ralses,,,False,False,,,,,,,,,1-10.pdf.json
2025-10-29,Seated Leg Curls,,,False,False,100.0,lbs,,100 lbs.,,,,,1-10.pdf.json
2025-10-29,Slides,,,False,False,,,,,,,,,1-10.pdf.json
2025-11-01,Air walk pullups,,,False,False,,,,,,,,,1-10.pdf.json
2025-11-01,Cable Ext. Rotations,,,False,False,,,,,,,,,1-10.pdf.json
2025-11-01,Deadhangs,,,False,False,,,,,,,,,1-10.pdf.json
2025-11-01,Delt Flies,,,False,False,115.0,lbs,,"100, 115 lbs.",,,,,1-10.pdf.json
2025-11-01,Int.,,,False,False,7.5,lbs,,7.5 165.,,,,,1-10.pdf.json
2025-11-01,Laying 900,,,False,False,,,,,,,,,1-10.pdf.json
2025-11-01,Power Pull ups,,,False,False,,,,,,,,,1-10.pdf.json
2025-11-01,Pseudo Front Lever Holds - Tuck,,,False,False,,,,,,,,,1-10.pdf.json
2025-11-01,Scapular pull ups,,,False,False,,,,,,,,,1-10.pdf.json
2025-11-01,Seated Rear,,,False,False,,,,,,,,,1-10.pdf.json
2025-11-01,Walks to pseudo planche Wall Hanstand,,,False,False,,,,,,,,,1-10.pdf.json
2025-11-01,Wall Pseudo Planche Holds,,,False,False,,,,,,,,,1-10.pdf.json
2025-11-05,Dips,,,False,False,0.0,bodyweight,,BW,,,,,1-10.pdf.json
2025-11-05,Ext + Int. Rotations,,,False,False,,,,,,,,,1-10.pdf.json
2025-11-05,Pseudo Planche,,,False,False,,,,,,,,,1-10.pdf.json
2025-11-05,Scapular push-ups,,,False,False,,,,,,,,,1-10.pdf.json
2025-11-05,Tuck Planche,,,False,False,,,,,,,,,1-10.pdf.json
2025-11-05,Wall Pseudo Planche holds,,,False,False,,,,,,,,,1-10.pdf.json
2025-11-05,slides,,,False,False,,,,,,,,,1-10.pdf.json
2025-11-06,1 Cable Squats,,,False,False,65.0,lbs,,65 lbs.,,,,,1-10.pdf.json
2025-11-06,1 Curls,,,False,False,100.0,lbs,,100 lbs.,,,,,1-10.pdf.json
2025-11-06,1 Ice Cream Scoops,,,False,False,,,,,,,,,1-10.pdf.json
2025-11-06,1 Seated Hip Abductors,,,False,False,150.0,lbs,,150 lbs.,,,,,1-10.pdf.json
2025-11-06,1 Tuck Front,,,False,False,,,,,,,,,1-10.pdf.json
2025-11-06,Booty Builder,,,False,False,248.0,lbs,,248 lbs.,,,,,1-10.pdf.json
2025-11-06,Bulgarians,,,False,False,,,,,,,,,1-10.pdf.json
2025-11-06,Dead hongs,,,False,False,,,,,,,,,1-10.pdf.json
2025-11-06,Lever Holds,,,False,False,,,,,,,,,1-10.pdf.json
2025-11-06,Prone Leg,,,False,False,,,,,,,,,1-10.pdf.json
2025-11-09,Arone Leg Curls,,,False,False,100.0,lbs,,100 lbs.,,,,,1-10.pdf.json
2025-11-09,Ext/int: rotations,,,False,False,,,,,,,,,1-10.pdf.json
2025-11-09,Hanstand Pushups,,,False,False,,,,,,,,,1-10.pdf.json
2025-11-09,Planche holds,,,False,False,,,,,,,,,1-10.pdf.json
2025-11-09,Scapular pushups,,,False,False,,,,,,,,,1-10.pdf.json
2025-11-09,Seated Incline Leg Press,,,False,False,315.0,lbs,,225 315 16s.,,,,,1-10.pdf.json
2025-11-09,Shoulder Raises straight Arm,,,False,False,15.0,lbs,,15 lbs.,,,,,1-10.pdf.json
2025-11-09,Standing Hip Dips,,,False,False,,,,,,,,,1-10.pdf.json
2025-11-09,Wall Pseudo,,,False,False,,,,,,,,,1-10.pdf.json
2025-11-09,w/ Dine Pushups,,,False,False,,,,,,,,,1-10.pdf.json
2025-11-11,08 Shoulder Shrugs,,,False,False,10.0,lbs,,10 lbs.,,,,,1-10.pdf.json
2025-11-11,AB Shoulder Raise Trio,,,False,False,10.0,lbs,,10 lbs.,,,,,1-10.pdf.json
2025-11-11,Archer Pullups,,,False,False,,,,,,,,,1-10.pdf.json
2025-11-11,Det Fires,,,False,False,10.0,lbs,,"10 lbs, 95 lbs.",,,,,1-10.pdf.json
2025-11-11,Diff. Pullups,,,False,False,,,,,,,,,1-10.pdf.json
2025-11-11,Scoops,,,False,False,,,,,,,,,1-10.pdf.json
2025-11-11,Seated Rear,,,False,False,,,,,,,,,1-10.pdf.json
2025-11-11,Tuck Ice Cream,,,False,False,,,,,,,,,1-10.pdf.json
2025-11-12,BOSU SL KB,,,False,False,,,,,,,,,1-10.pdf.json
2025-11-12,Booty Builder,,,False,False,248.0,lbs,,248 lbs.,,,,,1-10.pdf.json
2025-11-12,Prone Leg Curls,,,False,False,100.0,lbs,,100 lbs.,,,,,1-10.pdf.json
2025-11-12,Pushups + El. Pike Pushups,,,False,False,,,,,,,,,1-10.pdf.json
2025-11-12,Straight Arm Shoulder Raises,,,False,False,15.0,lbs,,15 lbs.,,,,,1-10.pdf.json
2025-11-12,squat,,,False,False,20.0,lbs,,20 lbs.,,,,,1-10.pdf.json
2025-11-16,Airwalk pull ups,,,False,False,,,,,,,,,1-10.pdf.json
2025-11-16,Booty Builder,,,False,False,,,,,,,,,1-10.pdf.json
2025-11-16,Bulgarians,,,False,False,45.0,lbs,,45 lbs.,,,,,1-10.pdf.json
2025-11-16,Cable Int / Ext.,,,False,False,,,,,,,,,1-10.pdf.json
2025-11-16,Calf Press,,,False,False,190.0,lbs,,190 lbs- 2051ps.,,,,,1-10.pdf.json
2025-11-16,DB (Diagonal + lateral),,,False,False,15.0,lbs,,15 16#.,,,,,1-10.pdf.json
2025-11-16,Elevated Dike Pushups,,,False,False,,,,,,,,,1-10.pdf.json
2025-11-16,MB Hamstring Carla,,,False,False,,,,,,,,,1-10.pdf.json
2025-11-16,Rotations,,,False,False,7.5,lbs,,7.5 lbs,,,,,1-10.pdf.json
2025-11-16,Seated Hip Adductions,,,False,False,115.0,lbs,,"115 lbs,",,,,,1-10.pdf.json
2025-11-16,Shoulder Raises,,,False,False,,,,,,,,,1-10.pdf.json
2025-11-16,Wall Pseudo Planche Holds,,,False,False,,,,,,,,,1-10.pdf.json
2025-11-19,Abductors,,,False,False,100.0,lbs,,100 lbs.,,,,,1-10.pdf.json
2025-11-19,Airwalls pullups,,,False,False,,,,,,,,,1-10.pdf.json
2025-11-19,Archer Pullups,,,False,False,,,,,,,,,1-10.pdf.json
2025-11-19,Booty Builder,,,False,False,248.0,lbs,,248 lbs.,,,,,1-10.pdf.json
2025-11-19,Seated Hip,,,False,False,,,,,,,,,1-10.pdf.json
2025-11-19,Seated Itp Adductors,,,False,False,115.0,lbs,,115 lbs 130 lbs.,,,,,1-10.pdf.json
2025-11-19,Shoulder shrugs Trio,,,False,False,12.5,lbs,,12.5 lbs.,,,,,1-10.pdf.json
2025-11-20,Elevated Pike,,,False,False,,,,,,,,,1-10.pdf.json
2025-11-20,Ext / Int. Rotations,,,False,False,7.5,lbs,,7.5 lbs.,,,,,1-10.pdf.json
2025-11-20,MB Hamstring Curls,,,False,False,,,,,,,,,1-10.pdf.json
2025-11-20,Pushups,,,False,False,,,,,,,,,1-10.pdf.json
2025-11-20,Seated Incline Leg Press,,,False,False,405.0,lbs,,"225, 315, 405 lbs.",,,,,1-10.pdf.json
2025-11-27,. Curls,,,False,False,,,,,,,,,1-10.pdf.json
2025-11-27,1 RB scapular pushups,,,False,False,,,,,,,,,1-10.pdf.json
2025-11-27,DB Goblet Squat,,,False,False,,,,,,,,,1-10.pdf.json
2025-11-27,Elevated Pike Pushups,,,False,False,,,,,,,,,1-10.pdf.json
2025-11-27,Handstand pushups,,,False,False,,,,,,,,,1-10.pdf.json
2025-11-27,Pseudo Planche,,,False,False,,,,,,,,,1-10.pdf.json
2025-11-27,SB Hamstring,,,False,False,,,,,,,,,1-10.pdf.json
2025-11-27,Slides,,,False,False,,,,,,,,,1-10.pdf.json
2025-11-29,. Scared hip adductions,,,False,False,130.0,lbs,,130 163.,,,,,1-10.pdf.json
2025-11-29,1 Lateral,,,False,False,,,,,,,,,1-10.pdf.json
2025-11-29,Booty Builder,,,False,False,,,,,,,,,1-10.pdf.json
2025-11-29,L-sit pullups,,,False,False,,,,,,,,,1-10.pdf.json
2025-11-29,One arm deadhangs,,,False,False,,,,,,,,,1-10.pdf.json
2025-11-29,Palov rotations,,,False,False,22.5,lbs,,22.5 165.,,,,,1-10.pdf.json
2025-11-29,Pull ups,,,False,False,,,,,,,,,1-10.pdf.json
2025-11-29,SB hamstring curls,,,False,False,,,,,,,,,1-10.pdf.json
2025-11-29,Shoulder Raises Trio,,,False,False,10.0,lbs,,10 lbs.,,,,,1-10.pdf.json
2025-11-29,Squats,,,False,False,,,,,,,,,1-10.pdf.json
2025-11-29,i 6h sit-to-stands,,,False,False,,,,,,,,,1-10.pdf.json
2025-11-30,1 DB Laying Straight Arm Raises,,,False,False,25.0,lbs,,"20 153, 25 163",,,,,1-10.pdf.json
2025-11-30,1 Ext. / Int. Rotations,,,False,False,,,,,,,,,1-10.pdf.json
2025-11-30,Foregrip Tricep,,,False,False,,,,,,,,,1-10.pdf.json
2025-11-30,Pike Pushups,,,False,False,,,,,,,,,1-10.pdf.json
2025-11-30,Pseudo Planche Pushups Slides,,,False,False,,,,,,,,,1-10.pdf.json
2025-11-30,Wall Handstand,,,False,False,,,,,,,,,1-10.pdf.json
